,symbol
1370,FTSL
1371,FTSM
1372,FTVA
1373,FTWO
1374,FTXD
1375,FTXG
1376,FTXH
1377,FTXL
1378,FTXN
1379,FTXO
1380,FTXR
1381,FUD
1382,FUMB
1383,FUNL
1384,FUSI
1385,FUT
1386,FUTY
1387,FV
1388,FVAL
1389,FVC
1390,FVD
1391,FVL
1392,FWD
1393,FWDB
1394,FXA
1395,FXB
1396,FXC
1397,FXCH
1398,FXD
1399,FXE
1400,FXED
1401,FXF
1402,FXG
1403,FXH
1404,FXI
1405,FXL
1406,FXN
1407,FXO
1408,FXP
1409,FXR
1410,FXS
1411,FXSG
1412,FXU
1413,FXY
1414,FXZ
1415,FYC
1416,FYLD
1417,FYLG
1418,FYT
1419,FYX
1420,GAA
1421,GABF
1422,GAL
1423,GAMR
1424,GAPR
1425,GARD
1426,GASL
1427,GAST
1428,GASX
1429,GAUG
1430,GBDV
1431,GBF
1432,GBGR
1433,GBIL
1434,GBLD
1435,GBLO
1436,GBUG
1437,GBUY
1438,GCC
1439,GCIG
1440,GCLN
1441,GCOR
1442,GCOW
1443,GDAT
1444,GDE
1445,GDEF
1446,GDG
1447,GDIV
1448,GDMA
1449,GDMN
1450,GDNA
1451,GDOC
1452,GDVD
1453,GDX
1454,GDXD
1455,GDXJ
1456,GDXU
1457,GEM
1458,GEMD
1459,GENY
1460,GERM
1461,GEX
1462,GFEB
1463,GFGF
1464,GFIN
1465,GFOF
1466,GGLL
1467,GGLS
1468,GGME
1469,GGRW
1470,GHII
1471,GHTA
1472,GHYB
1473,GHYCF
1474,GHYG
1475,GIGB
1476,GIGE
1477,GII
1478,GINN
1479,GJUL
1480,GJUN
1481,GK
1482,GLBY
1483,GLD
1484,GLDB
1485,GLDM
1486,GLDX
1487,GLIF
1488,GLL
1489,GLOF
1490,GLOV
1491,GLRY
1492,GLTR
1493,GMAN
1494,GMAR
1495,GMAY
1496,GMET
1497,GMF
1498,GMOM
1499,GMUN
1500,GNAF
1501,GNMA
1502,GNOM
1503,GNR
1504,GOAT
1505,GOAU
1506,GOEX
1507,GOOY
1508,GOVI
1509,GOVT
1510,GOVZ
1511,GPAL
1512,GPOW
1513,GQRE
1514,GREI
1515,GREK
1516,GRES
1517,GRI
1518,GRID
1519,GRNB
1520,GRNR
1521,GRPM
1522,GRZZ
1523,GSC
1524,GSD
1525,GSEE
1526,GSEP
1527,GSEU
1528,GSEW
1529,GSFP
1530,GSG
1531,GSID
1532,GSIE
1533,GSIG
1534,GSJY
1535,GSLC
1536,GSP
1537,GSPY
1538,GSSC
1539,GSST
1540,GSUS
1541,GSY
1542,GTEK
1543,GTIP
1544,GTO
1545,GTR
1546,GUDB
1547,GULF
1548,GUNR
1549,GURU
1550,GUSA
1551,GUSH
1552,GVAL
1553,GVI
1554,GVIP
1555,GVLU
1556,GWX
1557,GXC
1558,GXF
1559,GXG
1560,GXTG
1561,GXUS
1562,GYLD
1563,HACK
1564,HAIL
1565,HAKD
1566,HAO
1567,HAP
1568,HAPI
1569,HAPS
1570,HAPY
1571,HARD
1572,HART
1573,HAUD
1574,HAUS
1575,HAUZ
1576,HAWX
1577,HBCGF
1578,HBNNF
1579,HBTPF
1580,HCMT
1581,HCOM
1582,HCOW
1583,HCRB
1584,HCXY
1585,HCXZ
1586,HDAW
1587,HDEF
1588,HDG
1589,HDGE
1590,HDIQF
1591,HDIV
1592,HDLB
1593,HDLS
1594,HDLV
1595,HDMV
1596,HDRO
1597,HDUS
1598,HDV
1599,HEAT
1600,HECO
1601,HEDJ
1602,HEEM
1603,HEET
1604,HEFA
1605,HEGD
1606,HEGE
1607,HELO
1608,HELX
1609,HEQT
1610,HERD
1611,HERO
1612,HEWC
1613,HEWG
1614,HEWI
1615,HEWJ
1616,HEWL
1617,HEWP
1618,HEWU
1619,HEWW
1620,HEWY
1621,HEZU
1622,HFGO
1623,HFND
1624,HFXE
1625,HFXI
1626,HFXJ
1627,HGER
1628,HGI
1629,HHFR
1630,HHH
1631,HIBL
1632,HIBS
1633,HIDE
1634,HIDV
1635,HIGH
1636,HIPS
1637,HISF
1638,HIYS
1639,HJEN
1640,HJPX
1641,HKND
1642,HLAL
1643,HLGE
1644,HMLSF
1645,HMOP
1646,HNDL
1647,HNUZF
1648,HOCT
1649,HOLD
1650,HOM
1651,HOML
1652,HOMZ
1653,HONR
1654,HOTL
1655,HSCZ
1656,HSMV
1657,HSPX
1658,HSRT
1659,HSUN
1660,HTAB
1661,HTEC
1662,HTFA
1663,HTRB
1664,HTUS
1665,HUSE
1666,HUSV
1667,HYBB
1668,HYBL
1669,HYCBF
1670,HYD
1671,HYDB
1672,HYDD
1673,HYDR
1674,HYDW
1675,HYEM
1676,HYFI
1677,HYG
1678,HYGH
1679,HYGI
1680,HYGV
1681,HYGW
1682,HYHG
1683,HYIH
1684,HYIN
1685,HYLB
1686,HYLD
1687,HYLG
1688,HYLS
1689,HYLV
1690,HYMB
1691,HYMU
1692,HYND
1693,HYRM
1694,HYS
1695,HYSA
1696,HYTR
1697,HYUP
1698,HYXE
1699,HYXU
